,course,Credits,Instructor,Department,course_name,description,vec_str
0,ACM 215,3,J F Parente,Academy for Creative Media (ACM),Introduction to 3D Computer Animation ,"A basic overview of the 3D animation production process, including modeling, texturing, rigging, animation, lighting, and rendering. A-F only. Pre: 255 (or concurrent).","Introduction to 3D Computer Animation  A basic overview of the 3D animation production process, including modeling, texturing, rigging, animation, lighting, and rendering. A-F only. Pre: 255 (or concurrent). Academy for Creative Media (ACM)"
4,ACM 216,3,L Margulies,Academy for Creative Media (ACM),Fundamentals of Animation ,"Introduction to traditional styles and methods of hand drawn 2D, digital, and stop motion animation through theory and practice. A-F only. Pre: 255 (or concurrent) and ART 113, or consent.","Fundamentals of Animation  Introduction to traditional styles and methods of hand drawn 2D, digital, and stop motion animation through theory and practice. A-F only. Pre: 255 (or concurrent) and ART 113, or consent. Academy for Creative Media (ACM)"
8,ACM 255,3,A H Ladner,Academy for Creative Media (ACM),Introduction to Cinema and Digital Media ,"Introduction to the study of cinema: history, aesthetics, and cultural impact. A-F only.","Introduction to Cinema and Digital Media  Introduction to the study of cinema: history, aesthetics, and cultural impact. A-F only. Academy for Creative Media (ACM)"
16,ACM 310,3,S E Schimmel,Academy for Creative Media (ACM),Cinematic Narrative Production ,"Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing. ACM majors only. A-F only. Pre: 255 (or concurrent).","Cinematic Narrative Production  Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing. ACM majors only. A-F only. Pre: 255 (or concurrent). Academy for Creative Media (ACM)"
18,ACM 310,3,F Titz,Academy for Creative Media (ACM),Cinematic Narrative Production ,"Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing. ACM majors only. A-F only. Pre: 255 (or concurrent).","Cinematic Narrative Production  Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing. ACM majors only. A-F only. Pre: 255 (or concurrent). Academy for Creative Media (ACM)"
20,ACM 310,3,TBA,Academy for Creative Media (ACM),Cinematic Narrative Production ,"Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing. ACM majors only. A-F only. Pre: 255 (or concurrent).","Cinematic Narrative Production  Production-intensive course with collaborative as well as individual projects. Theories and application of basic digital cinema productions, including camera, lighting, sound, and editing. ACM majors only. A-F only. Pre: 255 (or concurrent). Academy for Creative Media (ACM)"
28,ACM 312,3,F Titz,Academy for Creative Media (ACM),Cinematography ,"Comprehensive course in visual styles supporting screen narratives through a study of principles of camera elements, operations, lighting, color and composition. Professional role and responsibilities of cinematographer. Project-oriented. Must have access to manually controlled still camera. ACM majors only. A-F only. Pre: 310.","Cinematography  Comprehensive course in visual styles supporting screen narratives through a study of principles of camera elements, operations, lighting, color and composition. Professional role and responsibilities of cinematographer. Project-oriented. Must have access to manually controlled still camera. ACM majors only. A-F only. Pre: 310. Academy for Creative Media (ACM)"
32,ACM 314,3,L Margulies,Academy for Creative Media (ACM),Experimental Art and Animation ,"Provides students an opportunity to experiment with new mediums while collaborating with artists from different backgrounds, such as art, theatre, dance, film, and animation. ACM, ART, THEA, DNCE majors only. Pre: 216 (or concurrent) or ART 113 or THEA 353 (or concurrent) or THEA 356 (or concurrent). (Cross-listed as ART 315 and THEA 314)","Experimental Art and Animation  Provides students an opportunity to experiment with new mediums while collaborating with artists from different backgrounds, such as art, theatre, dance, film, and animation. ACM, ART, THEA, DNCE majors only. Pre: 216 (or concurrent) or ART 113 or THEA 353 (or concurrent) or THEA 356 (or concurrent). (Cross-listed as ART 315 and THEA 314) Academy for Creative Media (ACM)"
36,ACM 317,3,J Hahm,Academy for Creative Media (ACM),3D Cinematography and Dynamics ,Computer animation directing and cinematography for the design and creation of visual effects. Using particles and dynamics systems to simulate natural phenomena. Compositing of visual layers. ACM majors only. A-F only. Pre: 215. DA,3D Cinematography and Dynamics  Computer animation directing and cinematography for the design and creation of visual effects. Using particles and dynamics systems to simulate natural phenomena. Compositing of visual layers. ACM majors only. A-F only. Pre: 215. DA Academy for Creative Media (ACM)
40,ACM 320,3,J F Parente,Academy for Creative Media (ACM),Animation Production I ,"Students work independently to produce a short, animated film. Emphasis on visual storytelling and character animation. ACM majors only. A-F only. Pre: 316B, and 350 or 355.","Animation Production I  Students work independently to produce a short, animated film. Emphasis on visual storytelling and character animation. ACM majors only. A-F only. Pre: 316B, and 350 or 355. Academy for Creative Media (ACM)"
44,ACM 325,3,J F Parente,Academy for Creative Media (ACM),Visual Effects ,"Introduction to the history, theory, design and execution of visual effects for the screen. Project-based learning in traditional photographic and digitally-generated special effects. ACM majors only. A-F only. Pre: 215 and 216; or 310.","Visual Effects  Introduction to the history, theory, design and execution of visual effects for the screen. Project-based learning in traditional photographic and digitally-generated special effects. ACM majors only. A-F only. Pre: 215 and 216; or 310. Academy for Creative Media (ACM)"
48,ACM 330,3,A M Misawa,Academy for Creative Media (ACM),Independent Producing ,"Fundamentals of producing for independent filmmaking, focusing on business acumen and role of the producer through various stages of production. Topics include proposal writing, script breakdowns, budgeting, scheduling, legal issues, festival strategy, and distribution. ACM majors only. A-F only. Pre: 255; and 310 or (215 and 216).","Independent Producing  Fundamentals of producing for independent filmmaking, focusing on business acumen and role of the producer through various stages of production. Topics include proposal writing, script breakdowns, budgeting, scheduling, legal issues, festival strategy, and distribution. ACM majors only. A-F only. Pre: 255; and 310 or (215 and 216). Academy for Creative Media (ACM)"
56,ACM 350,3,J Moffett,Academy for Creative Media (ACM),Screenwriting ,Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development. ACM majors only. A-F only. Pre: 310 (or concurrent) or 215 (or concurrent). DA,Screenwriting  Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development. ACM majors only. A-F only. Pre: 310 (or concurrent) or 215 (or concurrent). DA Academy for Creative Media (ACM)
58,ACM 350,3,L Flanary,Academy for Creative Media (ACM),Screenwriting ,Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development. ACM majors only. A-F only. Pre: 310 (or concurrent) or 215 (or concurrent). DA,Screenwriting  Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development. ACM majors only. A-F only. Pre: 310 (or concurrent) or 215 (or concurrent). DA Academy for Creative Media (ACM)
60,ACM 350,3,V Hereniko,Academy for Creative Media (ACM),Screenwriting ,Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development. ACM majors only. A-F only. Pre: 310 (or concurrent) or 215 (or concurrent). DA,Screenwriting  Introduction to the basics of writing a short narrative screenplay for film or animation. Students learn the fundamentals and format of screenwriting as well as basic elements of storytelling and character development. ACM majors only. A-F only. Pre: 310 (or concurrent) or 215 (or concurrent). DA Academy for Creative Media (ACM)
68,ACM 360,3,L Flanary,Academy for Creative Media (ACM),Indigenous Aesthetics ,Aesthetic theories and practices of indigenous cultures of the Pacific and their adaptation to the screen in cinematic storytelling. A-F only. Pre: 255 or consent.,Indigenous Aesthetics  Aesthetic theories and practices of indigenous cultures of the Pacific and their adaptation to the screen in cinematic storytelling. A-F only. Pre: 255 or consent. Academy for Creative Media (ACM)
